,Question,Mark Scheme,Response
0,Explain three causes of unemployment and consider which cause is likely to be most damaging to a high-income economy. [8],"a

Explain three causes of unemployment and consider which cause is likely to be most damaging to a high-income economy.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For a clear and accurate explanation of three causes of unemployment from frictional, structural, cyclical (demand deficient), seasonal or technological (3×1).
AO2 Analysis (max 3 marks) Each cause identified must be analysed, and judgements made about how damaging it might be for a high-income economy (3×1). For example, points to consider may include:

Frictional unemployment may be dependent on information provision.
Structural unemployment may be permanent and difficult to solve.
Cyclical unemployment depends on the economic cycle.
Seasonal depends on alternative sources of employment.
Technological depends on occupational or geographical immobility of labour.

AO3 Evaluation (max 2 marks) For an answer that clearly assesses how damaging each cause may be to a high-income developed economy in comparison with each other (1) that leads to a justified conclusion as to which may be the most damaging (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","Unemployment occurs when individuals actively seeking work are unable to find paid employment. One cause is **frictional unemployment**, which arises from temporary transitions between jobs. This occurs due to information gaps or delays in matching workers to suitable vacancies, even in efficient labour markets. For example, graduates searching for their first role or employees leaving one position to seek better opportunities contribute to frictional unemployment. While this type is typically short-term, its persistence depends on the availability of job-matching services or the willingness of workers to accept lower wages. A second cause is **structural unemployment**, stemming from long-term mismatches between workers’ skills and job requirements. Technological advancements or shifts in consumer demand may render certain industries obsolete, leaving workers with outdated skills geographically or occupationally immobile. For instance, automation replacing manufacturing jobs could displace workers without digital skills. Structural unemployment is often persistent, as retraining programmes or relocation may be costly and time-consuming. A third cause is **cyclical unemployment**, linked to fluctuations in economic activity. During recessions, aggregate demand falls, leading firms to reduce output and lay off workers. This is particularly evident in sectors sensitive to disposable income, such as consumer durables. Cyclical unemployment diminishes during recoveries but can escalate rapidly in severe downturns, creating hysteresis if long-term unemployed workers lose skills.  

In a high-income economy, structural unemployment is likely the most damaging. While cyclical unemployment can be addressed through demand-side policies like fiscal stimulus, structural unemployment requires complex supply-side interventions, such as education reforms or industry diversification, which face implementation lags. High-income economies often experience rapid technological change, accelerating skill obsolescence. Frictional unemployment, though inevitable, is less severe due to advanced job-search technologies. Structural unemployment’s persistence undermines productive potential and exacerbates income inequality, as displaced workers struggle to adapt. However, the severity of cyclical unemployment during prolonged recessions could rival structural unemployment if demand remains depressed. The relative damage depends on the economy’s flexibility: if labour markets are rigid, structural factors dominate; if aggregate demand is volatile, cyclical factors may prevail. Ultimately, structural unemployment poses a greater long-term threat due to its resistance to conventional policy tools and its capacity to erode economic resilience."
1,Explain three of the components of aggregate demand and consider the extent to which they may be increased without leading to inflation. [8],"a

Explain three of the components of aggregate demand and consider the extent to which they may be increased without leading to inflation.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For a clear and accurate explanation of three components of aggregate demand i.e., consumer spending, investment, government spending and / or net exports (1 × 3).
Note. Q4(b) lists three components of AD so any AO1 marks CANNOT be awarded for simply mentioning a component.
AO2 Analysis (max 3 marks) For an analysis that explains that one cause of inflation is a situation where AD rises more than AS (1) but also considers why this may or may not occur e.g., the economy is operating at less than capacity, some of the increase in AD also increases AS etc. (up to 2 marks)
Note. If both scenarios are considered, then full marks may be awarded. For one-sided answers, maximum mark of 1.
AO3 Evaluation (max 2 marks)For an answer that clearly considers both sides (1) leading to a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","Aggregate demand comprises four components: consumption, investment, government spending, and net exports. Consumption refers to household expenditure on goods and services, influenced by factors such as disposable income, consumer confidence, and interest rates. Investment involves spending by firms on capital goods like machinery or infrastructure, driven by business expectations, interest rates, and technological advancements. Government spending includes public expenditure on services such as healthcare, education, and infrastructure, determined by fiscal policy objectives and budgetary decisions. These components collectively determine the total demand for goods and services in an economy.  

An increase in consumption raises aggregate demand, which may lead to demand-pull inflation if the economy is operating near full capacity. In such cases, firms face upward pressure on prices due to resource scarcity and rising production costs. However, if the economy has spare capacity—such as unemployed labour or underutilised capital—higher consumption can stimulate output without significant inflationary pressure. Similarly, investment spending can expand aggregate demand, but its impact on inflation depends on whether it enhances productive capacity. For instance, investment in new technology or infrastructure may increase aggregate supply over time, offsetting inflationary pressures by enabling higher output. Conversely, speculative investment in assets like property may inflate prices without boosting supply. Government spending, particularly on infrastructure or education, can also raise aggregate demand. If such spending improves long-term productivity, it may simultaneously expand aggregate supply, mitigating inflation risks. However, if government expenditure focuses on transfer payments or consumption-oriented projects, it may overstimulate demand relative to supply, leading to price rises.  

The extent to which these components can increase without causing inflation depends on multiple factors. If the economy operates below full capacity, higher aggregate demand may absorb idle resources, raising output without inflation. The composition of spending matters: investment and productivity-enhancing government expenditure are more likely to expand supply, creating room for demand growth. Time lags are also critical—supply-side improvements from investment may take years, while demand effects are immediate. Additionally, the marginal propensity to consume influences inflationary risks; higher consumption from income gains in a buoyant economy may overheat demand. Ultimately, inflation depends on the balance between aggregate demand growth and the economy’s ability to expand supply, which varies with cyclical conditions and policy effectiveness."
2,"With the help of a formula, explain what is meant by the income elasticity of demand for a product and consider the extent to which demand for the product will always rise at the same rate as the income of its consumers. [8]","a

With the help of a formula, explain what is meant by the income elasticity of demand for a product and consider the extent to which demand for the product will always rise at the same rate as the income of its consumers.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For an accurate formula of YED (1). For clear and accurate knowledge and explanation of what is meant by YED (1) including the difference between elastic and inelastic YED (1).
AO2 Analysis (max 3 marks) For a clear understanding and explanation that this depends on the coefficient value of YED (1) and analysis of the different outcomes depending on whether the product is normal (positive coefficient) (1) or inferior (negative coefficient) (1).
AO3 Evaluation (max 2 marks)For a considered evaluation of the possible outcomes (1) leading to a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","Income elasticity of demand (YED) measures the responsiveness of the quantity demanded of a product to changes in consumer income. It is calculated using the formula:  
YED = (% change in quantity demanded) / (% change in income).  
A positive YED indicates a normal good, where demand increases as income rises, while a negative YED signifies an inferior good, where demand decreases as income rises. The magnitude of YED determines whether demand is income elastic (YED > 1) or inelastic (YED < 1). For elastic goods, demand changes proportionally more than income, while for inelastic goods, demand changes proportionally less. For example, luxury goods often exhibit high YED values, as small income changes lead to large shifts in demand, whereas necessities typically have low YED values, as demand remains relatively stable despite income fluctuations.  

Whether demand rises at the same rate as income depends on the YED coefficient. For normal goods with YED = 1, demand increases exactly in line with income. However, most goods deviate from this. Elastic goods (YED > 1) experience faster demand growth than income growth, as seen with high-end electronics or vacations. Inelastic goods (YED < 1), such as staple foods, see demand rise slower than income. Inferior goods (YED < 0) experience falling demand as income increases, such as budget grocery items. DIAGRAM: A demand-income graph for normal and inferior goods would show upward-sloping and downward-sloping curves, respectively, with varying gradients reflecting elasticity.  

The extent to which demand mirrors income growth is influenced by factors such as consumer preferences, availability of substitutes, and income distribution. For instance, even if incomes rise uniformly, demand patterns may shift unpredictably if substitutes for a product emerge or if societal priorities change. Additionally, the YED of a product is not static—it may evolve as a good transitions from luxury to necessity over time. Thus, while YED provides a theoretical link between income and demand, real-world outcomes depend on dynamic market conditions and behavioral factors, meaning demand rarely rises at a constant, income-proportional rate across all contexts."
3,"With the use of examples, explain the difference between public goods and merit goods and consider whether markets will always provide enough of both goods. [8]","a

With the use of examples, explain the difference between public goods and merit goods and consider whether markets will always provide enough of both goods.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)

For the use of accurate examples of BOTH merit goods and public goods (1).
For clearly explaining the characteristics of public goods i.e., non-rivalry and non-excludable (1).
For clearly explaining the characteristics of merit goods i.e., better than people realise and under consumed / underproduced due to information failure (1).

AO2 Analysis (max 3 marks)

A market economy is less likely to produce enough of both goods due to the lack of a profit motive unless heavily subsidised.
A mixed economy may produce enough due to government involvement and the welfare motive but may be constrained by limits on government spending.

Note: Analysis should consider at least 2 markets. If only 1 market is analysed, then 2 marks maximum for analysis and 0 for evaluation.
AO3 Evaluation (max 2 marks)Offers a valid evaluation of whether enough of both types of good can be produced in at least 2 markets (1) reaching a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","Public goods and merit goods differ in their characteristics and the market failures associated with them. Public goods are defined by non-rivalry and non-excludability. Non-rivalry means one person’s consumption does not reduce availability for others, while non-excludability means individuals cannot be prevented from using the good, even if they do not pay. This leads to the free-rider problem, where consumers avoid paying for the good, as they can benefit from others’ contributions. Consequently, private firms lack profit incentives to supply public goods, resulting in complete market failure. Merit goods, such as education, generate positive externalities where social benefits exceed private benefits. However, due to information failure, consumers underestimate their long-term value, leading to underconsumption and underproduction relative to the socially optimal level.  

In a market economy, both goods are likely to be underprovided. Public goods face the free-rider problem, deterring private production. Merit goods suffer from insufficient demand caused by imperfect information, creating a divergence between private and social optimum. DIAGRAM: A supply and demand diagram for merit goods shows the marginal social benefit curve lying above the marginal private benefit curve, with the market equilibrium quantity lower than the social optimum. For public goods, the diagram would illustrate zero private supply at any price due to non-excludability. A mixed economy addresses this through government intervention: subsidies for merit goods to lower prices and boost consumption, and direct provision or taxation for public goods. However, the effectiveness of these measures depends on government capacity to accurately assess social benefits and allocate sufficient funding.  

The extent to which markets provide enough of both goods depends on the economic system and institutional constraints. In market economies, persistent underprovision is inevitable without intervention. In mixed economies, government action may correct these failures, but success hinges on budgetary limits and prioritisation. For instance, high costs of public goods like infrastructure may strain fiscal resources, while subsidies for merit goods require precise calibration to avoid over- or under-spending. Additionally, political considerations may influence resource allocation, potentially diverting funds from socially optimal levels. Thus, while mixed economies can improve outcomes, achieving full sufficiency remains contingent on balancing economic objectives with practical limitations."
4,"With the help of an aggregate demand and aggregate supply diagram, explain how a decrease in interest rates could cause economic growth and consider whether economic growth will always result in inflation. [8]","a

With the help of an aggregate demand and aggregate supply diagram, explain how a decrease in interest rates could cause economic growth and consider whether economic growth will always result in inflation.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)A clear understanding of what is meant by:

economic growth (1)
inflation (1)
interest rates (1)
through an accurate diagram, correctly labelled axes, and equilibrium price level and real GDP (1).

AO2 Analysis (max 3 marks)Uses the diagram(s) to explain how a decrease in interest rates will impact on saving/borrowing (1) that cause will either cause an increase in consumption/investment/next exports (1) which causes an increase in economic growth/real GDP (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that rise in inflation assumes that the economy is operating at full capacity; the growth may be focused on capital intensive industries (1) or that the source of the growth may be long term in nature (1). The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","A decrease in interest rates reduces the cost of borrowing and the incentive to save, which can stimulate economic growth. Economic growth is defined as an increase in real gross domestic product (GDP) over time, reflecting higher output and income. Inflation refers to a sustained rise in the general price level. Interest rates, set by a central bank, influence the cost of loans and returns on savings. (DIAGRAM: A downward-sloping aggregate demand (AD) curve and upward-sloping short-run aggregate supply (SRAS) curve intersecting at an equilibrium price level and real GDP. A rightward shift of the AD curve from AD1 to AD2 shows increased demand due to lower interest rates, leading to higher real GDP from Y1 to Y2 and a rise in the price level from P1 to P2.) Lower interest rates reduce the reward for saving, encouraging households to increase consumption. Simultaneously, borrowing becomes cheaper for firms, raising investment in capital goods. This increases the components of AD (consumption and investment), shifting the AD curve rightward. If the economy operates below full capacity, this raises real GDP, causing economic growth. The extent of price level increases depends on the economy’s proximity to full employment. For instance, in a recession with spare capacity, higher AD may primarily boost output with minimal inflation, as firms utilise idle resources. However, near full employment, the same AD shift would strain resources, pushing prices up more significantly.

Whether economic growth causes inflation depends on the economy’s position relative to its productive potential. If growth occurs due to AD expansion in an economy already at full capacity, inflation is likely, as higher demand outpaces supply. Conversely, if growth stems from improvements in productive efficiency or technological advances shifting long-run aggregate supply (LRAS) rightward, output rises without inflationary pressure. Additionally, the time horizon matters: short-term AD-driven growth may raise prices, but sustained growth through LRAS shifts can maintain price stability. The source of growth—consumer spending versus capital investment—also influences inflation. Capital-intensive growth may expand capacity, dampening price rises. Thus, inflation is not an inevitable consequence of growth but hinges on the interaction between AD, supply-side conditions, and the economy’s initial state."
5,Explain what is meant by a depreciation of the exchange rate and consider whether a depreciation is likely to increase domestic real output. [8],"a

Explain what is meant by a depreciation of the exchange rate and consider whether a depreciation is likely to increase domestic real output.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)An accurate definition the exchange rate (1). Understanding that there is likely to be a depreciation of the exchange rate if the demand for a currency falls (1) or there is an increase in the supply of a currency (1).
AO2 Analysis (max 3 marks) A depreciation of the exchange rate will reduce (increase) the perceived price of exports (imports) (1) which will increase the value of both (X-M) and aggregate demand (1) and increase the rate of domestic real output (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that this assumes that the economy is not operating at full capacity (1) or depends on the elasticity of demand for goods that are traded internationally (1). The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","A depreciation of the exchange rate occurs when the external value of a currency decreases relative to another currency in a floating exchange rate system. The exchange rate represents the price of one currency in terms of another, determined by the interaction of demand and supply in foreign exchange markets. Depreciation typically arises from a fall in demand for the domestic currency, such as reduced foreign investment inflows, or an increase in its supply, such as higher domestic spending on imports. For example, if the demand for exports falls, foreign buyers require fewer units of the domestic currency, reducing its value. Similarly, an increase in supply could occur if domestic firms convert earnings from exports into foreign currencies, increasing the availability of the domestic currency on foreign exchange markets.

The impact of depreciation on domestic real output operates through changes in net exports. A weaker currency lowers the price of exports in foreign markets, potentially increasing the quantity demanded if foreign consumers respond to the price reduction. Conversely, imports become more expensive in domestic currency terms, which may reduce import demand as domestic consumers substitute towards locally produced alternatives. The resultant rise in export volumes and decline in import volumes improve the net trade balance (X-M), a component of aggregate demand. Higher aggregate demand stimulates domestic production, increasing real output, assuming spare capacity exists in the economy. DIAGRAM: An outward shift of the aggregate demand curve from AD1 to AD2, intersecting the upward-sloping short-run aggregate supply curve at a higher equilibrium real output level (Y1 to Y2). This illustrates how increased net exports could expand output if the economy operates below full employment.

However, the extent to which depreciation boosts real output depends on several factors. The price elasticity of demand for exports and imports is critical: if foreign demand for exports is inelastic, the rise in export volumes may be insufficient to offset the lower price, worsening the trade balance. Similarly, inelastic domestic demand for imports could lead to higher expenditure on imports despite rising prices, limiting improvements in net exports. Additionally, the economy’s proximity to full capacity determines whether higher aggregate demand translates into real output growth or inflation. If resources are fully utilised, increased demand may cause demand-pull inflation rather than output expansion. Therefore, while depreciation can stimulate real output under conditions of spare capacity and elastic trade demand, its effectiveness is contingent on these factors, suggesting outcomes may vary across different economic contexts."
6,"With the help of a formula, explain the meaning of income elasticity of demand and consider the extent to which a rise in income will increase the consumption of all goods and services. [8]","a

With the help of a formula, explain the meaning of income elasticity of demand and consider the extent to which a rise in income will increase the consumption of all goods and services.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)An accurate definition of income elasticity of demand (1) and accurate formula (1). Understanding of the difference between normal and inferior goods (1).
AO2 Analysis (max 3 marks) Normal goods have a positive value (1). Uses a diagram (upwards sloping income demand curve) or the formula to show why an increase in income increases the consumption of such goods (1) – this should be justified with an appropriate example (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that if the good is inferior good then the demand for the good will fall when incomes rise (1) as consumers adjust their spending habits and consumer more normal/luxury goods. The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","Income elasticity of demand (YED) measures the responsiveness of the quantity demanded of a good or service to a change in consumer income. It is calculated using the formula: **YED = (% change in quantity demanded) / (% change in income)**. This formula quantifies how demand adjusts when income levels fluctuate. A positive YED value indicates a normal good, where demand rises as income increases, while a negative YED value signifies an inferior good, where demand falls as income rises. Normal goods can be further categorised into necessities (YED between 0 and 1) and luxury goods (YED greater than 1), reflecting differing degrees of income sensitivity.  

For normal goods, a rise in income leads to increased consumption due to the positive relationship captured by the formula. DIAGRAM: An upward-sloping income-demand curve for normal goods illustrates this, where higher income (on the horizontal axis) corresponds to higher quantity demanded (on the vertical axis). For example, if YED for restaurant meals is +1.5, a 10% income increase results in a 15% rise in demand. However, inferior goods, such as low-quality substitutes, experience reduced demand as incomes grow. If bus travel has a YED of -0.8, a 10% income increase causes an 8% decline in demand, as consumers switch to alternatives like private transport.  

The extent to which rising income boosts consumption depends on the classification of goods. While normal goods see higher demand, inferior goods face declines. Additionally, the magnitude of YED determines the proportional change: luxury goods experience larger demand increases than necessities. Consumption patterns also depend on income distribution—if income rises disproportionately among high earners, luxury goods may see sharper demand spikes. Conversely, widespread income growth might disproportionately benefit necessities. Thus, a universal increase in consumption across all goods is unlikely due to the inherent diversity in YED values and consumer preferences."
7,"With the help of a demand and supply diagram, explain how the introduction of an indirect tax affects equilibrium in a market and consider the extent to which the incidence of the tax will fall on the consumer. [8]","a

With the help of a demand and supply diagram, explain how the introduction of an indirect tax affects equilibrium in a market and consider the extent to which the incidence of the tax will fall on the consumer.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks) An accurate definition of an indirect tax (1) shown through an accurate diagram, correctly labelled axes and equilibrium price and quantity (1). Understanding that indirect taxes are used to discourage the consumption of demerit goods (1).
AO2 Analysis (max 3 marks)Uses the diagram to explain that an indirect tax shifts the supply curve to the left (1), which causes an increase in the price of the good to the consumer (1) and reduces the quantity demanded (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that the incidence of tax borne by the consumer will depend on the PED of the product (1), (and that the more price inelastic demand is the greater the proportion of the tax is passed onto the consumer (1)), with a second mark for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","An indirect tax is a levy imposed on goods or services by the government, typically collected from producers but often passed on to consumers through higher prices. (DIAGRAM: A demand and supply diagram with price on the vertical axis and quantity on the horizontal axis. The initial equilibrium is at the intersection of demand curve D and supply curve S1, with price P and quantity Q. The introduction of the tax shifts the supply curve vertically upwards by the amount of the tax to S2, creating a new equilibrium at a higher price P1 and lower quantity Q1.) The tax creates a wedge between the price consumers pay and the price producers receive, reducing the quantity traded in the market. Indirect taxes are often applied to demerit goods, where consumption generates negative externalities, to discourage their use.  

The tax increases production costs, causing the supply curve to shift left from S1 to S2. Producers must now supply each quantity at a higher price to maintain profitability, reflecting the additional tax burden. The new equilibrium occurs where the demand curve intersects the shifted supply curve. Consumers face a higher price (P1), while producers receive a lower net price (P1 minus the tax per unit). The vertical distance between S1 and S2 represents the tax per unit. The rise in price from P to P1 indicates the portion of the tax passed to consumers, while the fall in the producer’s net price shows the portion absorbed by producers. The reduction in equilibrium quantity from Q to Q1 reflects the contraction in the market due to the tax.  

The incidence of the tax depends on the price elasticity of demand (PED) for the good. If demand is price inelastic, consumers are less responsive to price changes, so producers can pass a larger proportion of the tax to them. Conversely, if demand is elastic, consumers reduce consumption significantly when prices rise, forcing producers to absorb more of the tax. The relative elasticities of supply and demand determine the distribution of the tax burden. For example, if supply is highly elastic, producers may bear a smaller share of the tax. Ultimately, the consumer’s share of the tax incidence is greater when demand is inelastic, but the extent varies with market conditions."
8,Explain how import tariffs might correct an imbalance in the current account of the balance of payments and consider whether these tariffs are the best way of correcting such an imbalance. [8],"a

Explain how import tariffs might correct an imbalance in the current account of the balance of payments and consider whether these tariffs are the best way of correcting such an imbalance.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)

What is meant by an import tariff (1)
What is measured by the current account of the balance of payments (1)
What is meant by an imbalance in the current account of the balance of payments in terms of a surplus or deficit. (1)

AO2 Analysis (max 3 marks)
For an analysis of how import tariffs will affect the prices of imports (1) and how this may affect domestic consumption on imports (1) and how this may correct the imbalance (1)
Note: a diagram may be useful but cannot be expected.
AO3 Evaluation (max 2 marks)
Final effect is uncertain e.g., as a result of the PED for imports (1); other policies can be used (1); whether trading competitors retaliate (1). Reserve (1) for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","A current account imbalance occurs when the value of a country’s imports and exports of goods and services, combined with net primary and secondary income flows, is unequal. A deficit arises when imports exceed exports, while a surplus occurs in the opposite scenario. Import tariffs are taxes levied on imported goods, increasing their price in domestic markets. By raising the cost of imports, tariffs aim to reduce domestic demand for foreign-produced goods, thereby lowering import expenditure. This reduction in import spending can narrow a current account deficit, as the trade balance is a key component of the current account. 

The effectiveness of tariffs in correcting an imbalance depends on the price elasticity of demand (PED) for imports. If demand is elastic, higher prices from tariffs will lead to a significant decrease in import quantities, reducing total import expenditure and improving the current account. For example, if tariffs are imposed on luxury cars with elastic demand, consumers may switch to domestically produced alternatives, decreasing import volumes. However, if demand is inelastic, the proportional decline in quantity demanded may be smaller than the price increase, leading to higher total import expenditure. This could worsen the deficit if the tariff-induced price rise outweighs the quantity reduction. Additionally, domestic producers might face higher costs if imported raw materials are taxed, potentially increasing prices for domestically produced goods and reducing export competitiveness. 

The use of tariffs as a policy tool also risks retaliation from trading partners, who may impose tariffs on the country’s exports. This could reduce export revenues, offsetting any gains from lower import expenditure and perpetuating the imbalance. Furthermore, tariffs do not address structural causes of deficits, such as low productivity or insufficient export diversification. Alternative policies, such as supply-side reforms to enhance export competitiveness or exchange rate adjustments, may yield more sustainable corrections without distorting trade flows. Consequently, while tariffs can theoretically reduce a deficit, their success depends on demand elasticity, the absence of retaliatory measures, and the broader economic context. A combination of policies is often more effective than tariffs alone."
9,"With reference to a country that is known to you, explain the main causes of unemployment and consider which of these causes is most significant. [8]","a

With reference to a country that is known to you, explain the main causes of unemployment and consider which of these causes is most significant.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)

For an understanding of what is meant by/a definition of unemployment (1)
For an understanding of what is meant by at least two types of unemployment (2 × 1)

AO2 Analysis (max 3 marks)
An analysis of the causes of these two types of unemployment and their significance applied to a named country known to the candidate. (up to 3 marks)
Note: If only 1 type of unemployment is analysed then 2 marks maximum.If there is no named country, then 1 mark maximum.
AO3 Evaluation (max 2 marks)
For an evaluation of which cause is the most significant in the named country leading to a justified conclusion (reserve 1 mark).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","Unemployment occurs when individuals who are willing and able to work at prevailing wage rates cannot secure employment. Two primary types of unemployment are structural and cyclical. Structural unemployment arises from long-term changes in an economy’s industrial composition, such as technological advancements or shifts in consumer demand, which render certain skills obsolete. For instance, a decline in manufacturing due to automation may displace workers lacking technical expertise, creating a mismatch between their skills and job requirements. Cyclical unemployment, conversely, is linked to fluctuations in economic activity. During recessions, aggregate demand falls, leading firms to reduce output and lay off workers. This type of unemployment is temporary but intensifies during downturns as consumption and investment decline. 

In a mixed economy, structural unemployment often persists due to rigidities in labor markets. For example, if a country experiences rapid deindustrialization, workers in declining sectors may face geographical or occupational immobility, preventing them from transitioning to growing industries like technology. Wage inflexibility, influenced by minimum wage laws or trade unions, can exacerbate this mismatch by preventing wages from adjusting to clear surplus labor. Cyclical unemployment, however, depends on the economy’s position in the business cycle. If a country enters a prolonged recession with weak consumer confidence and reduced government spending, firms may delay investment, prolonging job losses. The significance of each cause varies: structural unemployment reflects deeper inefficiencies, while cyclical unemployment is more responsive to demand-side policies like fiscal stimulus. 

The relative significance of these causes depends on the economy’s structural characteristics and external shocks. Structural unemployment is more critical in economies undergoing rapid technological change or globalization, as workers struggle to adapt without retraining programs. Cyclical unemployment dominates in economies vulnerable to volatile demand, particularly those reliant on export sectors susceptible to global downturns. However, structural factors may underpin cyclical trends; for example, a lack of skilled labor can constrain recovery even after demand rebounds. Government intervention also plays a role: proactive industrial policies and education reforms may mitigate structural issues, while effective fiscal policies can shorten cyclical downturns. Ultimately, structural unemployment is often more significant due to its persistent nature, as it requires long-term solutions rather than temporary demand management."
