,Question,Mark Scheme,Response
0,Assess which expansionary macroeconomic policy would be most likely to enable a government to meet its economic objective of a low rate of unemployment. [12],"b

Assess which expansionary macroeconomic policy would be most likely to enable a government to meet its economic objective of a low rate of unemployment.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

The analysis must focus on the advantages and disadvantages of using at least two expansionary macroeconomic policies to keep unemployment low. For example, one policy might be an expansionary supply-side policy with an emphasis on training and education which would allow people to be more employable, e.g., by having more relevant skills but it may be timeconsuming and costly.
This chosen policy must then be contrasted with an alternative policy / policies. For example, expansionary monetary policy may be suggested with the use of low interest rates to encourage investment and boost employment, but the investment may be directed towards more capitalintensive production.

Note. The focus of the question must be on how a low rate of unemployment may be achieved.
Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation:

That clearly compares the likely success of at least two expansionary macroeconomic policies that leads to:
A valid conclusion as to which policy would be most likely to meet the economic objective of a low rate of unemployment.
Accept all valid responses.


12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","Expansionary macroeconomic policies aim to stimulate economic activity and reduce unemployment by influencing aggregate demand or aggregate supply. Two key policies to consider are expansionary supply-side policies and expansionary monetary policy, each with distinct mechanisms and implications for achieving low unemployment.  

Supply-side policies focus on enhancing the economy’s productive capacity by improving factors such as labour skills, technological innovation, and market efficiency. Training and education programs, for example, reduce structural unemployment by equipping workers with skills that match employer demands. When workers acquire relevant skills, they become more employable, lowering the natural rate of unemployment. Additionally, policies like labour market reforms or subsidies for apprenticeships can incentivise firms to hire more workers by reducing hiring costs. Over time, these measures shift the long-run aggregate supply (LRAS) curve to the right, increasing potential output and creating sustainable employment opportunities. However, supply-side policies face limitations. They are often costly and slow to implement, as skill development or infrastructure projects require significant time to yield results. Furthermore, if labour markets are rigid or geographically immobile, even skilled workers may struggle to find employment, limiting the policy’s effectiveness. DIAGRAM: A rightward shift in the LRAS curve illustrates how supply-side policies increase potential output, reducing unemployment at the natural rate.  

Expansionary monetary policy, by contrast, targets aggregate demand (AD) through interest rate reductions. Lower interest rates decrease borrowing costs for firms and households, stimulating investment and consumption. For instance, businesses may expand operations and hire more workers due to cheaper loans, while households might increase spending on durable goods, raising demand for labour in retail and manufacturing sectors. This direct stimulation of AD can quickly reduce cyclical unemployment during recessions. DIAGRAM: A rightward shift in the AD curve demonstrates higher real output and employment levels. However, monetary policy’s effectiveness depends on economic conditions. In capital-intensive industries, investment may prioritise machinery over labour, limiting job creation. Additionally, if the economy nears full capacity, demand-side stimulus could cause inflation rather than reduce unemployment. Persistently low interest rates might also create asset bubbles or reduce savings, destabilising long-term growth.  

Evaluating which policy is more effective depends on several factors. First, the type of unemployment matters: supply-side policies better address structural unemployment, while monetary policy targets cyclical unemployment. Second, time horizons are critical. Monetary policy acts faster, making it preferable for immediate demand shortages, whereas supply-side policies require patience for long-term gains. Third, inflation risks differ; monetary policy risks overheating the economy if overused, while supply-side policies mitigate inflationary pressures by boosting AS alongside AD. Lastly, fiscal constraints influence feasibility. Supply-side policies demand substantial government funding, which may be unviable with high public debt, whereas monetary policy relies on central bank autonomy. In conclusion, supply-side policies are more effective for sustaining low unemployment in the long run, provided structural barriers exist and funding is available. However, monetary policy is superior for rapid demand-driven unemployment reduction, assuming inflation remains controlled and investment translates to job creation. The optimal approach likely combines both, addressing immediate demand gaps while fostering long-term labour market resilience."
1,The Chinese government has re-emphasised its commitment to rebalancing the economy from one focused mainly on investment and exports to one aiming to increase the proportion spent on domestic consumption.Assess the extent to which it would be possible to achieve this by fiscal policy alone. [12],"b

The Chinese government has re-emphasised its commitment to rebalancing the economy from one focused mainly on investment and exports to one aiming to increase the proportion spent on domestic consumption.
Assess the extent to which it would be possible to achieve this by fiscal policy alone.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

The analysis must focus on the usefulness of using fiscal policy to rebalance the economy in the way suggested. Domestic consumption can be boosted by a number of fiscal policies including policies on taxation and government spending, but the main problem would be achieving this in a sustainable way.
This analysis must be compared with alternative policies including supply-side policies and monetary policies plus fiscal policies with a supply-side content.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For a full evaluation of more than one type of policy that clearly assesses and compares the potential usefulness of them to rebalance the Chinese economy leading to a:valid conclusion.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","Fiscal policy can play a significant role in rebalancing an economy towards greater domestic consumption. Fiscal policy involves government decisions on taxation and public spending to influence aggregate demand. To boost domestic consumption, a government could reduce direct taxes such as income tax or corporation tax, which would increase households’ disposable income and firms’ post-tax profits. Higher disposable income could lead to greater consumer spending, shifting aggregate demand from investment and exports towards domestic consumption. Alternatively, the government could increase transfer payments or introduce subsidies for essential goods, directly raising household purchasing power. For example, lowering income tax rates would reduce the tax burden on workers, enabling them to spend more on goods and services. This would shift the composition of aggregate demand towards consumption, as shown in an AD/AS diagram where consumption-driven demand shifts the AD curve rightward, increasing real output. However, fiscal policy may have limitations in achieving sustainable rebalancing. If households choose to save rather than spend their additional disposable income, the multiplier effect would be reduced. Furthermore, persistent tax cuts or higher spending could widen the budget deficit, increasing government borrowing and potentially crowding out private investment through higher interest rates. This would counteract efforts to boost consumption by reducing funds available for private sector investment, which could harm long-term productive capacity.  

Supply-side policies may offer a more sustainable approach to rebalancing the economy. These policies aim to increase productive potential by improving factor quality, such as through education reforms or infrastructure investment. By enhancing workforce skills or reducing production costs, supply-side policies could raise real incomes over time, enabling households to consume more without relying solely on fiscal stimulus. For instance, investing in healthcare and education could improve labour productivity, leading to higher wages and greater consumer spending capacity. This would align with long-term consumption growth, as higher incomes sustainably boost purchasing power. However, supply-side policies often have significant time lags. Building infrastructure or improving human capital may take years to yield results, whereas fiscal measures can stimulate consumption more immediately. Additionally, supply-side policies targeting specific industries may inadvertently skew resource allocation, creating imbalances elsewhere in the economy. For example, subsidising technology sectors might increase exports rather than domestic consumption if firms prioritise foreign markets. Thus, while supply-side policies can complement fiscal measures, they may not directly address short-term consumption rebalancing.  

The effectiveness of fiscal policy alone depends on several factors. First, the marginal propensity to consume determines how much additional income is spent rather than saved. If households have high debt levels or low confidence, tax cuts may not translate into higher consumption. Second, the economy’s current position matters: in a recession, fiscal stimulus is more effective due to spare capacity, but in an overheating economy, it could cause inflation, eroding real incomes. Third, structural factors such as social safety nets influence spending behaviour. Weak welfare systems may encourage precautionary saving, limiting consumption growth. Finally, fiscal policy must be coordinated with other measures. For instance, monetary policy could lower interest rates to reduce saving incentives, while regulatory reforms might address market inefficiencies suppressing consumption. In conclusion, fiscal policy can initiate a shift towards domestic consumption, but its success depends on household behaviour, economic conditions, and complementary policies. Sustainable rebalancing likely requires a combination of fiscal, monetary, and supply-side measures to address both demand and supply constraints."
2,Assess the extent to which price elasticity of supply or cross elasticity of demand is more useful to businesses. [12],"b

Assess the extent to which price elasticity of supply or cross elasticity of demand is most useful to businesses.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

An assessment of the usefulness of PES e.g., it estimates how quickly a business will take to respond to changes in demand, levels of stock it can hold etc., but this is only an estimate and may change.
An assessment of the usefulness of XED e.g., it tells the business whether their product is a substitute (positive XED) or a complement (negative XED) and how close the relationship is and hence its sensitivity to the actions of other businesses, but the speed of change may mean it is quickly out of date.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For a full evaluation of the usefulness of both measurements compared with each other leading to:
A valid conclusion

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","Price elasticity of supply (PES) measures the responsiveness of the quantity supplied of a good to a change in its price, calculated as the percentage change in quantity supplied divided by the percentage change in price. For businesses, this concept is particularly useful in production and inventory management. A product with elastic PES (PES >1) indicates that firms can quickly adjust output in response to price changes, which is advantageous when demand fluctuates. For example, if a business operates in an industry with flexible production processes, abundant raw materials, or short production cycles, it can scale supply efficiently to avoid stockouts during periods of rising prices or prevent overstocking if prices fall. This elasticity allows businesses to align supply with demand shifts, optimising revenue and minimising storage costs. However, PES is limited by factors such as time lags, resource mobility, and production capacity. In industries where production requires significant lead time or specialised inputs—such as agriculture or heavy manufacturing—supply may remain inelastic even if prices rise, restricting a firm’s ability to respond dynamically. Additionally, PES does not account for external factors like competitor behaviour or consumer preferences, which may independently influence supply decisions.

Cross elasticity of demand (XED), defined as the percentage change in quantity demanded of one good divided by the percentage change in the price of another good, provides insights into the relationship between complementary or substitute goods. For businesses, this is critical for strategic pricing and market positioning. A positive XED (substitutes) implies that a price increase for a competitor’s product could boost demand for the firm’s own product, enabling proactive pricing strategies or targeted marketing. Conversely, a negative XED (complements) highlights the interdependence of goods, such as printers and ink cartridges, necessitating coordinated pricing to avoid demand contraction for one product if the other’s price rises. XED also aids in assessing market competition: a high positive XED suggests close substitutes, signalling vulnerability to rivals’ pricing decisions, while a low XED indicates product differentiation. However, XED’s utility is constrained by its reliance on static data. Market dynamics, such as evolving consumer tastes or technological advancements, can alter substitution or complementarity over time, rendering historical XED values obsolete. Furthermore, XED does not quantify the absolute impact of price changes on revenue, limiting its direct applicability to profit-maximisation strategies.

The relative usefulness of PES and XED depends on the business’s operational context and strategic priorities. PES is more valuable for firms in volatile markets where supply adjustments are critical—for instance, perishable goods industries requiring rapid stock turnover. However, its relevance diminishes in capital-intensive sectors with rigid production systems. XED, conversely, is indispensable for businesses in competitive markets with numerous substitutes or interdependent products, as it informs pricing and partnership strategies. The time horizon also matters: PES is more pertinent for short-term supply chain decisions, whereas XED supports long-term market positioning. Additionally, the accuracy of both measures hinges on data quality; outdated or incomplete information reduces their reliability. In conclusion, neither PES nor XED is universally superior. Their usefulness is contingent on the industry’s supply flexibility, the degree of product interdependence, and the firm’s capacity to adapt to market changes. Businesses often require both metrics to holistically navigate supply and demand complexities."
3,Assess whether a planned economic system should always switch to a mixed economy. [12],"b

Assess whether a planned economic system should always switch to a mixed economy.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

Analysis of both the potential advantages and disadvantages of a planned economic system including the emphasis on welfare and provision of public and merit goods. However, the lack of competition may mean a lack of efficient allocation of goods etc.
Analysis of both the potential advantages and disadvantages of a mixed economy including the fact that it possibly contains the best features of both a planned and a market economy, but this depends on how mixed it actually is. This may also include an assessment of the ease of the switch itself.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For an evaluation of both the advantages and disadvantages of planned and mixed economies leading to:
A valid conclusion.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","A planned economic system, characterized by centralized government control over resource allocation and production decisions, may offer certain advantages in terms of equitable distribution and prioritization of societal welfare. By directing resources toward public and merit goods such as healthcare, education, and infrastructure, the state can ensure that these services are accessible to all citizens, addressing market failures like underprovision in a pure market system. Furthermore, a planned economy can minimize income inequality through state-mandated wage controls and redistribution policies, avoiding the disparities that often arise from unregulated competition. However, the absence of price signals and profit incentives in such a system can lead to significant inefficiencies. Without competition, state-owned enterprises may lack the motivation to innovate or minimize costs, resulting in resource misallocation, surpluses, or shortages. For instance, if the government sets production targets for goods without considering consumer preferences, it may overproduce items with low demand while underproducing those with high demand, leading to deadweight loss. Additionally, bureaucratic decision-making processes in planned economies can be slow and inflexible, limiting the economy’s ability to adapt to changing needs or external shocks.  

A mixed economy, which integrates elements of both market mechanisms and government intervention, seeks to balance efficiency with equity. Market forces determine prices and production in most sectors, incentivizing firms to allocate resources efficiently, innovate, and respond to consumer preferences. Competition drives productivity gains and technological advancement, expanding the economy’s productive capacity over time. Simultaneously, government intervention in a mixed economy can correct market failures through regulations, taxes, subsidies, and the provision of public goods. For example, environmental regulations internalize external costs of pollution, while progressive taxation funds welfare programs to reduce inequality. However, the effectiveness of a mixed economy depends on the degree and quality of government involvement. Excessive regulation may stifle entrepreneurship and create administrative burdens, while insufficient intervention could perpetuate inequalities or leave public goods underfunded. Transitioning from a planned to a mixed economy also poses challenges, such as privatizing state assets without fostering monopolies, establishing legal frameworks for competition, and managing short-term disruptions like unemployment during structural reforms.  

Whether a planned economy should always switch to a mixed system depends on several factors. First, the transition’s success hinges on institutional capacity: effective legal systems, transparent governance, and regulatory bodies are necessary to prevent corruption during privatization and ensure fair competition. Second, the political feasibility of reform matters, as powerful interest groups in a planned economy—such as state-owned enterprises or bureaucrats—may resist changes that threaten their influence. Third, the social impact of transition must be considered; abrupt shifts could cause instability if welfare systems are dismantled before market mechanisms can adequately replace them. Additionally, the existing structure of the planned economy influences outcomes—economies with basic infrastructure and education may adapt more smoothly than those with systemic inefficiencies. In conclusion, while a mixed economy offers theoretical advantages in balancing efficiency and equity, the decision to transition should account for institutional readiness, political constraints, and social safeguards. A gradual, well-managed shift may yield long-term benefits, but a blanket prescription to “always switch” overlooks the complexities of economic restructuring."
4,Assess whether economic growth is always desirable for an economy. [12],"b

Assess whether economic growth is always desirable for an economy.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of the term economic growth.
An explanation of the potential benefits of economic growth for an economy – higher incomes, reduction in unemployment, improved government finances, increased international competitiveness, increases in both consumer and business confidence, increased life expectancy.
An explanation of the costs of economic growth for an economy – inflation, current account deficits, inequality, pollution.

AO3 Evaluation

Consideration that fully assesses the relative perspectives of economic growth for an economy and arrives at a reasoned conclusion concerning which viewpoint (or otherwise) is most likely.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","Economic growth, defined as an increase in real gross domestic product over time, is generally associated with rising living standards and improved economic outcomes. A key benefit of economic growth is the potential for higher real incomes, as increased production generates greater employment opportunities and higher wages. This reduces unemployment through the multiplier effect: higher output requires more labour, leading to increased household income, which boosts consumption and further stimulates aggregate demand. Additionally, economic growth improves government finances through higher tax revenues from income, corporate profits, and consumption. This allows governments to invest in public services such as healthcare and education, which can raise life expectancy and productivity. Growth may also enhance international competitiveness if firms reinvest profits into innovation and capital goods, lowering production costs and increasing export potential. Rising consumer and business confidence during periods of growth can create a virtuous cycle, encouraging further investment and consumption, thereby sustaining long-term expansion.

However, economic growth may impose significant costs on an economy. Rapid growth can lead to demand-pull inflation if aggregate demand outpaces aggregate supply, particularly when the economy operates near full capacity. This erodes purchasing power and may destabilise macroeconomic conditions. Growth driven by excessive consumption of imports can worsen the current account balance, creating structural deficits. Environmental costs, such as pollution and resource depletion, arise as production expands, reflecting negative externalities that are not priced into market transactions. Income inequality may also worsen if growth disproportionately benefits high-skilled workers or capital owners, exacerbating social divisions. DIAGRAM: A Lorenz curve analysis illustrates how unequal income distribution shifts the curve away from the line of equality. Furthermore, short-term growth focused on capital-intensive industries might neglect sustainable practices, leading to long-term ecological damage that undermines future productive capacity.

The desirability of economic growth depends on several factors. Firstly, the rate of growth matters: moderate growth allows supply-side adjustments to match demand, whereas excessive growth risks inflationary pressures and resource bottlenecks. Secondly, the distribution of gains determines whether growth reduces inequality or concentrates wealth. Progressive taxation and social welfare policies can mitigate disparities. Thirdly, environmental sustainability is critical; growth that internalises externalities through carbon pricing or regulation is less likely to cause ecological harm. Additionally, the economy’s initial position influences desirability: growth during a recession reduces unemployment with minimal inflation risk, whereas growth near full capacity may necessitate contractionary policies. Finally, the structure of growth matters—investment in human capital and technology yields long-term benefits, whereas consumption-driven growth may be unsustainable. In conclusion, economic growth is not inherently desirable but depends on its rate, distribution, environmental impact, and alignment with sustainable development goals. Only when managed to balance these factors can growth enhance societal welfare without compromising future stability."
5,Assess whether contractionary fiscal policy is likely to be the best way to reduce a current account deficit on the balance of payments. [12],"b

Assess whether contractionary fiscal policy is likely to be the best way to reduce a current account deficit on the balance of payments.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Understanding of the terms fiscal policy/current account deficit.
How contractionary fiscal policy might reduce a current account deficit – this may include increased taxation might reduce imports/reduce demand-pull inflationary pressure resulting in improved international price competitiveness.
An explanation of the limitations of fiscal policy – impact on domestic growth, unemployment.
An explanation of an alternative policy – monetary and/or supply side policies, minimum prices, regulation backed by fines.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of the policies analysed in reducing a current account deficit and arrives at a reasoned conclusion concerning whether fiscal policy is the ‘best’ approach.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","Contractionary fiscal policy can play a role in reducing a current account deficit, though its effectiveness depends on several factors. A current account deficit arises when the value of imports exceeds exports, and contractionary fiscal policy aims to address this by reducing aggregate demand through higher taxes or lower government spending. By decreasing disposable income, households and firms have less capacity to purchase imported goods and services, which directly reduces import expenditure. Additionally, if the economy is experiencing demand-pull inflation, contractionary fiscal policy could lower price levels, improving the international competitiveness of domestically produced goods. This could stimulate export demand and further reduce the current account deficit. However, this approach carries significant trade-offs. Reducing aggregate demand may lead to lower economic growth and higher unemployment, particularly if the economy is already operating below full capacity. Furthermore, the extent to which imports decline depends on the price elasticity of demand for imported goods. If demand for imports is inelastic, a reduction in income may only marginally reduce import spending, limiting the policy’s effectiveness in addressing the deficit. Contractionary fiscal policy also does not directly address structural issues affecting export competitiveness, such as low productivity or poor product quality, which may perpetuate the deficit in the long term.  

An alternative approach is supply-side policies, which focus on enhancing the productive capacity and efficiency of the economy. For instance, investments in education and infrastructure could improve labour productivity, lowering production costs and enabling domestic firms to produce higher-quality goods at competitive prices. This would increase export demand and reduce reliance on imports, thereby improving the current account balance. Supply-side policies may also attract foreign investment by creating a more favourable business environment, potentially boosting export-oriented industries. However, these policies often require substantial time and financial resources to yield results, making them less effective in addressing immediate deficits. Additionally, supply-side measures may not directly target domestic consumption patterns that drive import demand. For example, even with improved productivity, consumer preferences for foreign goods due to brand loyalty or perceived quality could persist, limiting the reduction in import expenditure. Unlike contractionary fiscal policy, supply-side policies avoid the short-term costs of reduced growth and unemployment but may fail to address demand-side imbalances swiftly.  

The effectiveness of contractionary fiscal policy as the “best” method depends on the economic context and objectives. If the deficit is primarily driven by excessive domestic demand and inflationary pressures, contractionary fiscal policy could be highly effective, particularly if demand for imports is price-elastic. However, in economies with structural weaknesses such as low export competitiveness or rigid production systems, supply-side policies may offer a more sustainable solution despite their longer time horizon. The state of the economy is critical: implementing contractionary fiscal policy during a recession risks exacerbating unemployment and stagnation, whereas supply-side measures could be more appropriate. The elasticity of import demand also matters—if consumers cannot easily substitute imported goods with domestic alternatives, fiscal tightening may have limited impact. Political considerations, such as public resistance to tax increases or spending cuts, may further constrain the feasibility of contractionary fiscal policy. In conclusion, while contractionary fiscal policy can reduce a current account deficit under specific conditions—such as elastic import demand and an overheated economy—it is not universally the best approach. A combination of demand management and supply-side reforms, tailored to the economy’s immediate needs and structural challenges, is often necessary for sustained improvement in the current account balance."
6,Assess whether an estimate of the price elasticity of demand for a product is likely to be more useful to a firm than an estimate of its price elasticity of supply. [12],"b

Assess whether an estimate of the price elasticity of demand for a product is likely to be more useful to a firm than an estimate of its price elasticity of supply.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of the terms PED/PES
How PED estimates would be useful to business owners –it would indicate the likely changes to revenue in response to changes in the price of a product.
An explanation of the limitations of PED estimates – does not consider the prices of complements/substitutes; income level of the consumer; trends; ignores the relevance of costs so changes to profits are uncertain.
An explanation of how PES estimates would be useful to business owners - the potential to invest in spare capacity which can be used if demand rises; increase overtime payments to increase production; whether or not to outsource to other firms who can meet supply.
An explanation of the limitations of PES estimates – e.g., practical ability to increase the PES; the associated costs in making supply more elastic/responsive.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of both PED/PES estimates and their implications for business decision-making and arrives at a reasoned conclusion concerning which concept (or otherwise) is most useful.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","Estimating price elasticity of demand (PED) can be highly useful for firms when making pricing decisions. PED measures the responsiveness of quantity demanded to a change in price, calculated as the percentage change in quantity demanded divided by the percentage change in price. If a product has an elastic PED (|PED| > 1), a price increase would lead to a proportionally larger fall in quantity demanded, reducing total revenue. Conversely, for inelastic goods (|PED| < 1), firms could raise prices to increase revenue. This knowledge allows firms to optimise pricing strategies to maximise sales or revenue. For example, a firm selling luxury goods with elastic demand might avoid price hikes to prevent losing customers, while a pharmaceutical company with inelastic demand for life-saving drugs could increase prices without significantly reducing sales. DIAGRAM: A demand curve with elastic and inelastic regions, showing how total revenue changes with price along different sections. However, PED estimates have limitations. They do not account for changes in consumer income, competitor pricing strategies, or shifts in preferences over time. Additionally, focusing solely on revenue ignores production costs: even if a price cut raises revenue, it may reduce profits if costs rise disproportionately. Furthermore, PED is static and assumes ceteris paribus conditions, which rarely hold in dynamic markets where multiple variables change simultaneously.  

Estimating price elasticity of supply (PES) also offers valuable insights for firms. PES measures the responsiveness of quantity supplied to price changes, calculated as the percentage change in quantity supplied divided by the percentage change in price. A high PES (elastic supply) indicates that firms can quickly increase production in response to price rises, perhaps due to spare capacity, flexible labour contracts, or readily available raw materials. This helps firms capitalise on favourable market conditions, such as sudden demand surges, by scaling output efficiently. For instance, a manufacturer with elastic supply could rapidly meet increased orders during peak seasons through overtime shifts or outsourcing. DIAGRAM: A steep (inelastic) supply curve versus a flatter (elastic) supply curve, illustrating differing responsiveness to price changes. Conversely, low PES (inelastic supply) implies production constraints, such as time-intensive manufacturing processes or scarce inputs, limiting a firm’s ability to adjust output. While PES informs capacity planning and operational flexibility, its utility is constrained by practical barriers. Achieving elastic supply often requires costly investments in technology, inventory, or workforce training. Moreover, supply adjustments may face delays due to contractual obligations or logistical bottlenecks, rendering PES estimates less actionable in the short run.  

Whether PED is more useful than PES depends on the firm’s objectives and market context. For price-setting firms in competitive markets, PED is critical: understanding demand elasticity helps avoid revenue losses from mispricing. However, if a firm operates in volatile markets where supply disruptions are common, PES estimates become vital for maintaining production stability. The time horizon also matters: PED guides immediate pricing decisions, while PES supports long-term strategic investments in capacity. Additionally, the reliability of elasticity estimates influences their usefulness. PED calculations may be skewed by external factors like substitute goods’ prices, whereas PES estimates face challenges from unpredictable input shortages. In conclusion, while PED is generally more directly relevant for revenue optimisation, PES gains importance in supply-constrained environments. A firm should prioritise the elasticity that aligns with its primary challenges—demand-side fluctuations versus supply-side rigidities—and consider both metrics holistically to balance pricing strategies with operational capabilities."
7,Assess whether the improved provision of information is likely to be the best method to reduce the consumption of demerit goods. [12],"b

Assess whether the improved provision of information is likely to be the best method to reduce the consumption of demerit goods
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of improved provision of information
How improved information would reduce the consumption of demerit goods; consumers are aware of the ‘true’ costs from consuming demerit goods and respond by reducing their demand – this may include a shift to the left of the demand curve, or a shift to left of the MPC curve
An explanation of the limitations of improved information – habitual consumption, peer pressure, irrational behaviour
An explanation of an alternative policy – taxation, minimum prices, regulation backed by fines.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of the policies analysed in reducing the consumption of demerit goods and arrives at a reasoned conclusion concerning whether improved provision of information is the ‘best’ approach.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","Improved provision of information can play a significant role in reducing the consumption of demerit goods by addressing information failures. Demerit goods are characterised by negative externalities in consumption, where individuals underestimate the private costs or overestimate the private benefits due to imperfect information. By providing accurate details about the harmful effects of such goods, consumers may revise their perceptions of the marginal private cost (MPC) upwards, aligning it more closely with the marginal social cost (MSC). This could lead to a leftward shift in the demand curve, as consumers reduce their quantity demanded at each price level. For instance, health campaigns highlighting the risks of smoking or excessive sugar consumption can alter consumer behaviour by correcting misperceptions, thereby reducing consumption. However, the effectiveness of improved information depends on the elasticity of demand. If demand is price inelastic, even a significant shift in perceived costs may result in only a modest reduction in consumption. Moreover, behavioural factors such as addiction, habitual consumption, or cognitive biases may undermine the impact of information provision, as consumers continue to prioritise short-term gratification over long-term health consequences despite being fully informed.  

An alternative method to reduce demerit good consumption is taxation, which internalises the externality by increasing the price of the good. A tax equal to the difference between MSC and MPC shifts the supply curve leftwards, raising the equilibrium price and reducing the quantity consumed. This approach directly targets the market failure by ensuring consumers face a price closer to the social cost, which may lead to a more immediate reduction in consumption compared to information campaigns. Taxation also generates government revenue, which could be reinvested into healthcare or further public information initiatives. However, the success of taxation depends on the price elasticity of demand. For goods with inelastic demand, such as cigarettes, the tax burden may fall disproportionately on lower-income groups without significantly reducing consumption, exacerbating inequality. Additionally, high taxes risk creating black markets, particularly for addictive goods, undermining the policy’s effectiveness. Unlike information provision, taxation does not address the root cause of information failure and may be perceived as paternalistic, reducing consumer autonomy.  

Whether improved information is the “best” method depends on several factors. Firstly, the nature of the demerit good is critical: for goods with addictive properties or habitual consumption, information alone may be insufficient, necessitating complementary measures like taxation. Secondly, the time lag associated with information campaigns must be considered. While education can induce sustained behavioural change over time, it may fail to address urgent public health crises requiring immediate reductions in consumption. Thirdly, the elasticity of demand influences outcomes. If demand is elastic, information provision could be highly effective, but for inelastic goods, taxation or regulation may yield better results. Finally, the political feasibility of policies matters. Taxation faces resistance from producers and consumers, whereas information campaigns are less contentious but require sustained funding. In conclusion, while improved information is valuable for correcting information failures and fostering informed choices, its effectiveness as the “best” method is contingent on the good’s characteristics, demand elasticity, and societal priorities. A combination of policies, tailored to address both information gaps and price incentives, is often necessary to optimally reduce demerit good consumption."
