,Unnamed: 0,Question,Mark Scheme,Question Type
0,0,Explain three causes of unemployment and consider which cause is likely to be most damaging to a high-income economy. [8],"a

Explain three causes of unemployment and consider which cause is likely to be most damaging to a high-income economy.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For a clear and accurate explanation of three causes of unemployment from frictional, structural, cyclical (demand deficient), seasonal or technological (3×1).
AO2 Analysis (max 3 marks) Each cause identified must be analysed, and judgements made about how damaging it might be for a high-income economy (3×1). For example, points to consider may include:

Frictional unemployment may be dependent on information provision.
Structural unemployment may be permanent and difficult to solve.
Cyclical unemployment depends on the economic cycle.
Seasonal depends on alternative sources of employment.
Technological depends on occupational or geographical immobility of labour.

AO3 Evaluation (max 2 marks) For an answer that clearly assesses how damaging each cause may be to a high-income developed economy in comparison with each other (1) that leads to a justified conclusion as to which may be the most damaging (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
2,2,Explain three of the components of aggregate demand and consider the extent to which they may be increased without leading to inflation. [8],"a

Explain three of the components of aggregate demand and consider the extent to which they may be increased without leading to inflation.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For a clear and accurate explanation of three components of aggregate demand i.e., consumer spending, investment, government spending and / or net exports (1 × 3).
Note. Q4(b) lists three components of AD so any AO1 marks CANNOT be awarded for simply mentioning a component.
AO2 Analysis (max 3 marks) For an analysis that explains that one cause of inflation is a situation where AD rises more than AS (1) but also considers why this may or may not occur e.g., the economy is operating at less than capacity, some of the increase in AD also increases AS etc. (up to 2 marks)
Note. If both scenarios are considered, then full marks may be awarded. For one-sided answers, maximum mark of 1.
AO3 Evaluation (max 2 marks)For an answer that clearly considers both sides (1) leading to a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
4,4,"With the help of a formula, explain what is meant by the income elasticity of demand for a product and consider the extent to which demand for the product will always rise at the same rate as the income of its consumers. [8]","a

With the help of a formula, explain what is meant by the income elasticity of demand for a product and consider the extent to which demand for the product will always rise at the same rate as the income of its consumers.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For an accurate formula of YED (1). For clear and accurate knowledge and explanation of what is meant by YED (1) including the difference between elastic and inelastic YED (1).
AO2 Analysis (max 3 marks) For a clear understanding and explanation that this depends on the coefficient value of YED (1) and analysis of the different outcomes depending on whether the product is normal (positive coefficient) (1) or inferior (negative coefficient) (1).
AO3 Evaluation (max 2 marks)For a considered evaluation of the possible outcomes (1) leading to a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
6,6,"With the use of examples, explain the difference between public goods and merit goods and consider whether markets will always provide enough of both goods. [8]","a

With the use of examples, explain the difference between public goods and merit goods and consider whether markets will always provide enough of both goods.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)

For the use of accurate examples of BOTH merit goods and public goods (1).
For clearly explaining the characteristics of public goods i.e., non-rivalry and non-excludable (1).
For clearly explaining the characteristics of merit goods i.e., better than people realise and under consumed / underproduced due to information failure (1).

AO2 Analysis (max 3 marks)

A market economy is less likely to produce enough of both goods due to the lack of a profit motive unless heavily subsidised.
A mixed economy may produce enough due to government involvement and the welfare motive but may be constrained by limits on government spending.

Note: Analysis should consider at least 2 markets. If only 1 market is analysed, then 2 marks maximum for analysis and 0 for evaluation.
AO3 Evaluation (max 2 marks)Offers a valid evaluation of whether enough of both types of good can be produced in at least 2 markets (1) reaching a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
8,8,"With the help of an aggregate demand and aggregate supply diagram, explain how a decrease in interest rates could cause economic growth and consider whether economic growth will always result in inflation. [8]","a

With the help of an aggregate demand and aggregate supply diagram, explain how a decrease in interest rates could cause economic growth and consider whether economic growth will always result in inflation.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)A clear understanding of what is meant by:

economic growth (1)
inflation (1)
interest rates (1)
through an accurate diagram, correctly labelled axes, and equilibrium price level and real GDP (1).

AO2 Analysis (max 3 marks)Uses the diagram(s) to explain how a decrease in interest rates will impact on saving/borrowing (1) that cause will either cause an increase in consumption/investment/next exports (1) which causes an increase in economic growth/real GDP (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that rise in inflation assumes that the economy is operating at full capacity; the growth may be focused on capital intensive industries (1) or that the source of the growth may be long term in nature (1). The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
10,10,Explain what is meant by a depreciation of the exchange rate and consider whether a depreciation is likely to increase domestic real output. [8],"a

Explain what is meant by a depreciation of the exchange rate and consider whether a depreciation is likely to increase domestic real output.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)An accurate definition the exchange rate (1). Understanding that there is likely to be a depreciation of the exchange rate if the demand for a currency falls (1) or there is an increase in the supply of a currency (1).
AO2 Analysis (max 3 marks) A depreciation of the exchange rate will reduce (increase) the perceived price of exports (imports) (1) which will increase the value of both (X-M) and aggregate demand (1) and increase the rate of domestic real output (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that this assumes that the economy is not operating at full capacity (1) or depends on the elasticity of demand for goods that are traded internationally (1). The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
12,12,"With the help of a formula, explain the meaning of income elasticity of demand and consider the extent to which a rise in income will increase the consumption of all goods and services. [8]","a

With the help of a formula, explain the meaning of income elasticity of demand and consider the extent to which a rise in income will increase the consumption of all goods and services.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)An accurate definition of income elasticity of demand (1) and accurate formula (1). Understanding of the difference between normal and inferior goods (1).
AO2 Analysis (max 3 marks) Normal goods have a positive value (1). Uses a diagram (upwards sloping income demand curve) or the formula to show why an increase in income increases the consumption of such goods (1) – this should be justified with an appropriate example (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that if the good is inferior good then the demand for the good will fall when incomes rise (1) as consumers adjust their spending habits and consumer more normal/luxury goods. The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
14,14,"With the help of a demand and supply diagram, explain how the introduction of an indirect tax affects equilibrium in a market and consider the extent to which the incidence of the tax will fall on the consumer. [8]","a

With the help of a demand and supply diagram, explain how the introduction of an indirect tax affects equilibrium in a market and consider the extent to which the incidence of the tax will fall on the consumer.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks) An accurate definition of an indirect tax (1) shown through an accurate diagram, correctly labelled axes and equilibrium price and quantity (1). Understanding that indirect taxes are used to discourage the consumption of demerit goods (1).
AO2 Analysis (max 3 marks)Uses the diagram to explain that an indirect tax shifts the supply curve to the left (1), which causes an increase in the price of the good to the consumer (1) and reduces the quantity demanded (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that the incidence of tax borne by the consumer will depend on the PED of the product (1), (and that the more price inelastic demand is the greater the proportion of the tax is passed onto the consumer (1)), with a second mark for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
16,16,Explain how import tariffs might correct an imbalance in the current account of the balance of payments and consider whether these tariffs are the best way of correcting such an imbalance. [8],"a

Explain how import tariffs might correct an imbalance in the current account of the balance of payments and consider whether these tariffs are the best way of correcting such an imbalance.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)

What is meant by an import tariff (1)
What is measured by the current account of the balance of payments (1)
What is meant by an imbalance in the current account of the balance of payments in terms of a surplus or deficit. (1)

AO2 Analysis (max 3 marks)
For an analysis of how import tariffs will affect the prices of imports (1) and how this may affect domestic consumption on imports (1) and how this may correct the imbalance (1)
Note: a diagram may be useful but cannot be expected.
AO3 Evaluation (max 2 marks)
Final effect is uncertain e.g., as a result of the PED for imports (1); other policies can be used (1); whether trading competitors retaliate (1). Reserve (1) for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
18,18,"With reference to a country that is known to you, explain the main causes of unemployment and consider which of these causes is most significant. [8]","a

With reference to a country that is known to you, explain the main causes of unemployment and consider which of these causes is most significant.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)

For an understanding of what is meant by/a definition of unemployment (1)
For an understanding of what is meant by at least two types of unemployment (2 × 1)

AO2 Analysis (max 3 marks)
An analysis of the causes of these two types of unemployment and their significance applied to a named country known to the candidate. (up to 3 marks)
Note: If only 1 type of unemployment is analysed then 2 marks maximum.If there is no named country, then 1 mark maximum.
AO3 Evaluation (max 2 marks)
For an evaluation of which cause is the most significant in the named country leading to a justified conclusion (reserve 1 mark).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
20,20,Explain why the provision of bus and local rail (mass transit) services in cities is classified as a private good not a public good and consider why such services might only be provided by the private sector. [8],"a

Explain why the provision of bus and local rail (mass transit) services in cities is classified as a private good and not a public good and consider why such services might only be provided by the private sector.
Follow the point-based marking guidance at the top of this mark scheme and award:

up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysis
up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)

Explanation of what is meant by excludability/non excludability (1)
Explanation of what is meant by rivalry/non rivalry (1)
Correct application to private and public goods (1)

AO2 Analysis (max 3 marks

Why is a mass transit service a private good with reference to both characteristics and therefore only provided by the private sector? (up to 2 marks)
Why is a mass transit service not a public good with reference to both characteristics and therefore not provided by the public sector? (up to 2 marks)

AO3 Evaluation (max 2 marks)

Assessment of whether a mass transit service might only be provided by the private sector with 1 mark reserved for a justified conclusion.


8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
