,Question,Mark Scheme
0,"Some high-income countries have introduced a policy of high tariffs on some imports to reduce the negative effects of globalisation on their economies.
With the help of a diagram, evaluate this policy. [20]
 ","


Question
Answer
Marks


5

Some high-income countries have introduced high tariffs on some imports to reduce the negative effects of globalisation on their economies.
With the help of a diagram, evaluate this policy.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Globalisation would promote free trade, free movement of capital and labour and the transfer of technology.
Key characteristics of high-income countries would include: high levels of productivity; high dependency ratios; high GDP per capita; significant dependence on international trade.
One of the main potential negative effects of globalisation on high-income economies might be caused by the import of goods produced at low cost by other countries. This might cause a rise in unemployment.
Analysis should be provided to show the impact of selective tariffs on imports into high-income countries. A clear, accurately labelled diagram should be provided to underpin this analysis.
Further analysis should be provided to illustrate the potential impact on different stakeholders of these tariffs. For example, an increase in tax revenue can be re-invested into the economy to promote long term economic growth.

N.B: L2 max if no or incorrect diagram provided.
AO3 Evaluation

The imposition of tariffs may lead to retaliation by other countries, possibly leading to a trade war and misallocation of resources.
Restricting imports and subsequent trade diversion will reduce allocative and productive efficiently and lead to a net welfare loss.
Tariffs will lead to higher prices for both consumers and producers due to lack of international competition.
In some cases, higher tariffs will lead to higher costs which could lead to higher prices, falling demand and ultimately increase the level of unemployment.
Although tariffs might reduce the negative effects of globalisation, they might also remove some existing benefits of globalisation. For example, by reducing choice for consumers.
Protecting inefficient domestic firms by using tariffs is likely to have a negative effect on the economy in the long term.
A conclusion should attempt to use cost/benefit analysis and use the preceding analysis to examine the net effect of the introduction of selective tariffs by high-income countries on their economies.

Accept all valid responses

20


AO1 Knowledge and understanding and AO2Analysis
14


AO3 Evaluation
6


"
1,"Central banks can control the money supply. An increase in the money supply will cause inflation, therefore central banks can control inflation.
Evaluate this statement. [20] 
 ","


Question
Answer
Marks


4

Central banks can control the money supply. An increase in the money supply will cause inflation, therefore central banks can control inflation.
Evaluate this statement.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question. AO1 and AO2 out of 14 marks. AO3 out of 6 marks. 
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

A definition of what is meant by inflation.
An explanation of what constitutes the key components of the money supply. This should primarily consist of commercial bank balances held at the central bank plus all bank deposits held in the commercial banks.
Examples of the instruments available to use by the central bank to control the money supply. Reference to and explanation of Open Market operations/Quantitative Easing, plus the use of changes in interest rates should be made and explained.
The potential link between changes in the money supply and/or changes in the rate of interest rate and inflation should be examined.
Analysis of the use of specific monetary policy instruments and their impact on reducing the money supply should be provided. For example, examining the links between the sale of long-term government securities and changes in the level of bank deposits.
Analysis of how changes in interest rates/money supply might impact upon the level of aggregate demand and inflation. 

AO3 Evaluation

The money supply is very difficult to measure, thus there are many different definitions of what might constitute the money supply.
The link between changes in the money and changes in the price level is not altogether clear.
The link between changes in the rate of interest and changes in the money supply are not always clear. For example, an increase in the rate of interest might lead to an increase in savings. This would cause bank deposits and therefore, the money supply to rise.
The effectiveness of the use of monetary policy to control inflation will also depend upon the cause of inflation. For example, demand pull inflation might be controlled more effectively by the use of contractionary fiscal policy.
A conclusion should use the preceding discussion to decide the extent to which this type of monetary is likely to be used effectively to control inflation.

Accept all valid responses

20


AO1 Knowledge and understanding and AO2Analysis
14


AO3 Evaluation
6


"
2,"Wages in a perfectly competitive labour market will always be higher than wages in a monopsony labour market.
With the help of a diagram, evaluate this statement. [20]
 ","


Question
Answer
Marks


3

Wages in a perfectly competitive labour market will always be higher than wages in a monopsony labour market.
With the help of a diagram evaluate this statement.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Characteristics of a perfectly competitive labour market should be described. This should be supported by a relevant diagram.
An explanation of how monopsony markets work should be provided, emphasising the importance of how wages are determined in this type of market.
A diagram should be provided which shows a monopsony labour market and used to show how wages and level of employment are determined.
Analysis should refer to the factors which affect both the supply of and demand for labour in both these types of labour market.

Note: L2 max if no or incorrect diagram provided.
AO3 Evaluation

Evaluation should then be used to link external factors which might affect final wage levels in both markets. For example, Trades Union or government intervention. In some cases, the intervention of Trades Union might lead to an increase in the productivity of the workforce through the provision of better training. This would support that wages would be higher in a perfectly competitive labour market.
Although a monopsony labour market model would predict lower wages due to buyer power on the part of monopsony firms, other factors will still determine the extent to which monopsony market wages will remain low. For example, the ease with which capital can be substituted for labour.
Also, the existing proportion of capital to labour in the particular industry will influence the extent to which wages might rise in either market.
Accusations of labour exploitation might lead to government intervention in a monopsony labour market. A minimum wage might be fixed that it is higher than wages gained in a perfectly competitive labour market.
Trades Unions might also intervene in monopsony markets and enable workers to gain higher wages through collective bargaining.
Higher wages might not be sustainable in the long run in perfectly competitive markets, due to increases in the supply of labour responding to the opportunity to gain higher wages.
A conclusion should attempt to address each element of the statement. The key word ‘always’ should be considered in the light of the question preceding argument.

Accept all valid responses

20


AO1 Knowledge and understanding and AO2Analysis
14


AO3 Evaluation
6


"
3,"Negative externalities of production cause market failure. 
With the help of a diagram, assess the extent to which the introduction of indirect taxation is likely to address this cause of market failure. [20]
 ","


Question
Answer
Marks


2

Negative externalities of production cause market failure.
With the help of a diagram, assess the extent to which the introduction of indirect taxation is likely to address this cause of market failure.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2Analysis

Market failure regarding this question would relate to allocative inefficiency. Market failure can be explained by defining allocative efficiency and linking this to the requirement to allocate resources to maximise consumer satisfaction.
This can be supported by a diagram illustrating a level of output where AR = MC which is consistent with an outcome that achieves allocative efficiency.
Negative externalities occur when the consumption/production of a good produces a cost to society which is greater than that incurred by an individual consumer/producer. This is sometimesdescribed as a negative ‘spill-over’ effect.
One form of government intervention might be the introduction of indirect taxation. A clearly labelled, accurate diagram can be used to show the impact of an indirect taxation on the level of output and efficiency.
Analysis would use this to show the impact of an indirect tax on the PC curve.
Further analysis should then identify the links between the indirect tax and the behaviour of firms. This would link the creation of negative externalities to the benefits of removing them and then linking this to addressing this cause of market failure

N.B: L2 max if no or incorrect diagram provided.
AO3 Evaluation

A government might introduce indirect taxation however it is difficult to determine the extent of the taxation necessary which will address the issue of market failure without causing other problems, for example, an increase in unemployment.
Also, the impact of indirect taxation in some circumstances takes a long time to become effective.
Some large firms might produce and sell products which have an inelastic demand therefore this would be unlikely to have a significant impact on output and efficiency.
The introduction of indirect taxation might be costly and unnecessarily bureaucratic, as well as being difficult to monitor and enforce.
It might be that government intervention based on the use of alternative more direct approaches such as the use of pollution permit might be more effective.
Indirect taxation is regressive and might unfairly penalise lower income groups.
A conclusion should consider alternatives, compare these with the use of indirect taxation and attempt to form some judgement regarding the effectiveness of this type of policy.

Accept all valid responses

20


AO1 Knowledge and understanding and AO2 Analysis
14


AO3 Evaluation
6


"
4,"Between 2010 and 2020, very low interest rates encouraged low-income countries to borrow money from foreign investors and governments to finance long-term economic growth.
Evaluate this approach to promoting long-term economic growth. [20]
 ","


Question
Answer
Marks


5

Between 2010 and 2020, very low interest rates encouraged low-income countries to borrow money from foreign investors and governments to finance long-term economic growth.
Evaluate this approach to promoting long-term economic growth. 
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

Definition and explanation of long-term economic growth as a function of more inputs such as labour, land, and equipment creating an outwards shift of the productive possibility curve. Economic growth is measurable in terms of increases in real GDP.
Many developing countries are characterised by low incomes which prevent savings and the funds needed to finance investment and economic growth. Funding is needed to finance the investment and technological aspects of economic growth which comes from internal sources (savings) or from foreign lending/investment.
Foreign investment may be from governments (e.g. China’s Belt and Roads initiative), international agencies (e.g. International Bank for Reconstruction and Development (IBRD)) or sovereign wealth funds. Governments borrow from other governments and international agencies to invest in infrastructure and other development projects which under lie economic growth.
Private capital investment via multinational corporations (e.g. Toyota, Intel). MNC investment is usually in factories, plant and machinery which increase output directly.
Candidates may analyse the effects of the increase in investment through aggregate supply and demand analysis.
Successful investment requires a return (marginal efficiency of capital (MEC)) which exceeds the rate of interest that has been relatively easy to obtain.
The effects of rising interest rates on developing countries: Many developing countries will suffer from falling exchange rates, especially if US$ interest rates rise this will increase the US$ funding cost of borrowings. The balance of payments (X-M) will deteriorate.
Accept references to IMF and World Bank lending investment funds.

AO3 Evaluation

Impact depends on the proportion of funding which comes from abroad and how much is locally sourced. If domestic funds are not available, then how else will the growth be funded.
The quality of the investment projects and the likelihood of realising a profit will affect the ability to cover the increase in interest rates. In some cases ‘vanity projects’ with little long-term economic benefit are funded (Roads to Nowhere) which enhance the standing of the government amongst its supporters but have no economic benefit.
The short-term effects of the project in terms of raising aggregate demand may be of limited benefit to the borrower if the lender requires much of the construction and materials to be sourced from them. This will have a negative effect on the current account of the balance of payments.
Higher interest rates in high income countries will raise the cost of borrowing by the low-income country. This means the cost of financing projects has risen representing an opportunity cost for borrowing. The balance of payments current account will deteriorate as the higher interest is paid.
Many low-income countries may be affected by a commodity price slump which reduces export earnings and depreciates a floating exchange rate making interest rate and capital repayment more expensive.


20


"
5,"The table below contains some key economic data for Mexico in 2020.



Gross National Income (GNI)
18.5 billion pesos


nominal wages
+2.8%


disposable income
+1.2%


unemployment rate
4.2%


population growth rate
1.1%


inflation rate
3.4%



Source: knoema.com
Evaluate the use of these statistics in assessing the standard of living in Mexico in 2020. [20]
 ","


Question
Answer
Marks


4

The table below contains some key economic data for Mexico in 2020.



Gross National Income (GNI)
18.5 billion pesos


nominal wages
+2.8%


disposable income
+1.2 %


unemployment rate
4.2%


population growth rate
1.1%


inflation rate
3.4%



Evaluate the use of these statistics in assessing the standard of living in Mexico in 2020.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis
SoL within Mexico 

Definitions of material and non-material standard of living (SoL) and GNI explanation of the difference in their meanings.
Definition and explanation of the other data given.
The meaning and development of the data and the implication of the value given for SoL.
A developed analysis of the links between each of the data given and the SoL.

AO3 Evaluation

Data does not specify precise time periods, therefore it’s not possible to tell whether the position has improved or not with respect of GNI or the other data given.
Can point out that population size rather than population change would be a better measure together with a base year price index to allow real GNI per capita to be calculated to indicate the material SoL.
Wages and disposable income and the unemployment rate would indicate the change in the material SoL.
The changes in wages in comparison with inflation suggests there is a fall in real income.
The need for other measures: education, health, life expectancy, hours worked etc. which influence the non-material SoL e.g., HDI, MEW or MPI.

Accept all valid responses.

20


"
6,"Privatisation is often required by the International Monetary Fund (IMF) and the World Bank before they are prepared to offer support to countries requiring loans, grants, debt relief and debt cancellation programs.
Evaluate the view that privatisation will always improve the allocation of resources in a country. [20] 
 ","


Question
Answer
Marks


3

Privatisation is often required by the International Monetary Fund (IMF) and the World Bank before they are prepared to offer support to countries requiring loans, grants, debt relief and debt cancellation programs.
Evaluate the view that privatisation will always improve the allocation of resources in a country.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

Definition/explanation of privatisation: the selling of state-owned corporations (the meaning of the term can include the provision of services and goods by private firms).
Explanation of productive/allocative efficiency. X-inefficiency.
A model of monopolistic competition/oligopoly/monopoly is used to analyse the effects on efficiency of shifting to privatised economy
Definition/explanation of a market economy.
Development of benefits of privatisation: – Greater competition in the market if an industry is privatised as competing firms. – Greater scrutiny of operation by shareholders should hold the company to account and increase efficiency. – Wider access to funds - not dependent on a government’s wider economic concerns.
Analysis may be in terms of comparing the monopoly model with one which is more competitive e.g. monopolistic competition or oligopoly and drawing the relevant inferences.
Relevant diagrams correctly drawn and labelled with accurate reference to them in the text.
Reduction in the need for the government to finance the activity and the implications for fiscal policy.
A further source of funds for the government that can be used to repay government debt and reduce the burden of interest payments. The funds can be devoted to education/health services improving economic development.
The cost of a loss-making state industry is no longer borne by the general tax-payer.

AO3 Evaluation

Evaluation against productive, allocative and/or dynamic efficiency.
Privatisation may lead to the break-up of a natural monopoly e.g. railways/water pipelines. The problem of the ‘final mile delivery’.
A state monopoly may simply be replaced with a private monopoly. Competition may be unrealistic due to high barriers to entry (BTE).
Many privatisations are accompanied by an industry regulator which suggests that the privatisation needs policing. The amount and direction of investment, and the pricing strategy are reviewed to maintain the industry’s efficiency.
Equity the transfer of profitable state-owned assets to private individuals means the contribution they might make to the state funds are lost.
Often there is a loss of employment in the industry and the burden of unemployment pay falls on the government raising the fiscal deficit or requiring more borrowing.
Private firms are only concerned with private costs and benefits, they ignore negative externalities and their consequences.

Accept all valid responses.

20


"
7,"Evaluate whether marginal utility theory can fully explain the link between the changing price of a good and quantity demanded of that good. [20]
 ","


Question
Answer
Marks


2

Evaluate whether marginal utility theory can fully explain the link between the changing price of a good and quantity demanded of that good.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

Definitions of marginal and total utility.
Explanation of total utility and diminishing marginal utility.
Analysis of the effect of a change in price through the equi-marginal principle and illustration of the effect with a diagram.
Diagram of the falling demand curve v price, which can apply to both normal and inferior (non-Giffen) goods but the theory does not distinguish between them.

AO3 Evaluation

Discussion of the validity of the rational consumer. Imperfect information, bounded rationality, impact of advertising.
Unable to distinguish between the income and substitution effects and therefore does not account for Giffen goods.
The difficulty of the ceteris paribus assumption that other things do not change when in practice they do. Each change would require a reestimation of the demand schedule.
The assumption that money has constant utility. Is the last dollar of someone earning $10 000 the same value as someone earning $100 000.
Difficulty of MU theory accounting for the purchase of a one-off good e.g. a house. 

Accept all valid responses.

20


"
8,"Globalisation will help to achieve economic growth in high-income economies and this will automatically improve living standards. 
Evaluate this statement. [20]","


Question
Answer
Marks


5

Globalisation will help to achieve economic growth in high-income economies and this will automatically improve living standards.
Evaluate this statement.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Globalisation would promote free trade, free movement of capital and labour and the transfer technology. Cultural and political ties would be strengthened.
Key characteristics of high-income countries would include: high levels of productivity; high GDP per capita; significant dependence on producing and exporting secondary/tertiary goods/services.
High living standards are generally associated with: low poverty levels; advanced infrastructure; good housing, education and health; and low infant mortality rates.
Economic growth is usually measured by changes in real GDP per capita in a specific time period.
An improvement in living standards is very closely linked with an improvement in economic performance. An improvement in economic performance is measured by increases in GDP per capita.
Globalisation through trade and technology transfer should provide opportunities to create more real wealth. 
Higher levels of tax revenue are likely to be received by a high-income country’s government. This will enable more expenditure on health, housing and education as well as increased access to more consumer goods. These improvements are generally associated with a rise in the standard of living.

AO3 Evaluation

The links between an increase in economic growth and an increase in living standards are not clear. Economic growth is a quantitative measure not a qualitative measure
Economic growth which depends upon globalisation would increase long distance transport which would create more negative externalities.
It is not clear how any benefits of economic growth might be used in a high-income economy
Globalisation might lead to an increase in cheap imports from low-income economies which might lead to higher levels of unemployment in more advanced economies.
A conclusion might attempt to form an overall judgement on the short term and long-term benefits of globalisation in relation to the improvement of living standards in high-income countries. Also a judgement should consider whether this will automatically improve living standards.

Accept all valid responses.

20


AO1 Knowledge and understanding and AO2 Analysis
14


AO3 Evaluation
6


"
9,"With the help of a diagram, assess the effectiveness of government policies which might be used to reduce cost-push inflation. [20]","


Question
Answer
Marks


4

With the help of a diagram, assess the effectiveness of government policies which might be used to reduce cost push inflation.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.
Indicative content
AO1 Knowledge and understanding and AO2 Analysis

A clear outline of different causes inflation and why inflation might cause problems.
A more detailed explanation of the causes of cost push inflation, supported by an accurately labelled diagram
A description of alternative policies that a government might use to reduce cost push inflation
Analysis can be used to show how a government will be able to increase aggregate supply, in the long term, by increasing productivity through direct investment. For example, by increasing expenditure on education/infrastructure. This analysis might also be supported by a relevant diagram
In the short term, a government might focus on attempting to reduce the cost of producing goods and services by introducing widespread subsidies, reducing indirect taxation, removing tariffs on key imports or the use of incomes policies.

L2 maximum if no accurate diagram providedMust refer to some supply side polices to gain L3 marks
AO3 Evaluation

Increasing the use of subsidies and/or decreasing the use of indirect taxation is likely to have a negative effect on a government’s budget. For example, increasing the budget deficit and subsequently increasing the need for more government borrowing.
Removing tariffs is likely to have a negative effect on the incomes and output of domestic producers and possibly lead to an increase in unemployment
The introduction of incomes policies is likely to lead to opposition from trade Unions and the possibility of industrial disruption.
Long run supply-side policies are likely to focus on attempts to increase productivity. This frequently involves significant investment in new technology which will lead to a rise in unemployment in the short run
Other policies which might be used in the long run might include immediate investment in skills training and improving the quality of the infrastructure. Skills training is expensive and hence has a high initial opportunity cost. While the immediate effect of an increase in expenditure on improving the infrastructure is likely to increase aggregate demand and add to the inflationary pressure 
A conclusion should attempt to assess the relative effectiveness of each type of policy approach and consider which approach is likely to be the most effective in the short run and then compare this with possible outcomes that might be achieved in the long run.

Accept evaluation relating to demand side policies.

20


AO1 Knowledge and understanding and AO2 Analysis
14


AO3 Evaluation
6


"
